Name;Municipality;Owner/owner of the spv;Spv;Operator, contact details;Cabel information,contact details;"Nominal power (kW)";Installation year;Wind turbine Manufacturer;Wind turbine tip height (m);Wind turbine hub height (m);Wind turbine rotor diameter (m);Region;"Installed (1)/Not in use(0)";Demolish year
Ajos 1;Kemi;Haminan Energia Oy;;;;3000;2005;WinWinD;;;;Lappi;0;2016
Ajos retrofit 1;Kemi;IKEA;Ponsivuori Wind Oy;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;3200;2017;Siemens Gamesa;150;85;130;Lappi;1;
Ajos retrofit 10;Kemi;IKEA;Ponsivuori Wind Oy;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;3300;2017;Siemens Gamesa;150;85;130;Lappi;1;
Ajos retrofit 2;Kemi;IKEA;Ponsivuori Wind Oy;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;3200;2017;Siemens Gamesa;150;85;130;Lappi;1;
Ajos retrofit 2 1;Kemi;IKEA;Ponsivuori Wind Oy;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;3200;2016;Siemens Gamesa;150;85;130;Lappi;1;
Ajos retrofit 2 2;Kemi;IKEA;Ponsivuori Wind Oy;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;3200;2016;Siemens Gamesa;150;85;130;Lappi;1;
Ajos retrofit 2 3;Kemi;IKEA;Ponsivuori Wind Oy;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;3200;2016;Siemens Gamesa;150;85;130;Lappi;1;
Ajos retrofit 3;Kemi;IKEA;Ponsivuori Wind Oy;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;3300;2017;Siemens Gamesa;150;85;130;Lappi;1;
Ajos retrofit 4;Kemi;IKEA;Ponsivuori Wind Oy;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;3300;2017;Siemens Gamesa;150;85;130;Lappi;1;
Ajos retrofit 5;Kemi;IKEA;Ponsivuori Wind Oy;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;3300;2017;Siemens Gamesa;150;85;130;Lappi;1;
Ajos retrofit 6;Kemi;IKEA;Ponsivuori Wind Oy;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;3300;2017;Siemens Gamesa;150;85;130;Lappi;1;
Ajos retrofit 7;Kemi;IKEA;Ponsivuori Wind Oy;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;3300;2017;Siemens Gamesa;150;85;130;Lappi;1;
Ajos retrofit 8;Kemi;IKEA;Ponsivuori Wind Oy;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;3300;2017;Siemens Gamesa;150;85;130;Lappi;1;
Ajos retrofit 9;Kemi;IKEA;Ponsivuori Wind Oy;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;3300;2017;Siemens Gamesa;150;85;130;Lappi;1;
Ajos T10;Kemi;Innopower Oy;;;;3000;2008;WinWinD;;;;Lappi;0;2016
Ajos T11;Kemi;Innopower Oy;;;;3000;2008;WinWinD;;;;Lappi;0;2016
Ajos T2;Kemi;Innopower Oy;;;;3000;2008;WinWinD;;;;Lappi;0;2016
Ajos T3;Kemi;Innopower Oy;;;;3000;2008;WinWinD;;;;Lappi;0;2016
Ajos T4;Kemi;Innopower Oy;;;;3000;2008;WinWinD;;;;Lappi;0;2016
Ajos T5;Kemi;Innopower Oy;;;;3000;2007;WinWinD;;;;Lappi;0;2016
Ajos T6;Kemi;Innopower Oy;;;;3000;2008;WinWinD;;;;Lappi;0;2016
Ajos T7;Kemi;Innopower Oy;;;;3000;2008;WinWinD;;;;Lappi;0;2016
Ajos T8;Kemi;Innopower Oy;;;;3000;2008;WinWinD;;;;Lappi;0;2016
Ajos T9;Kemi;Innopower Oy;;;;3000;2008;WinWinD;;;;Lappi;0;2016
Aljonvuori;Ikaalinen;Ilkka Klinga;;;;600;2012;Siemens Gamesa;;;;Pirkanmaa;1;
Annankangas 1;Raahe;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3450;2017;Vestas;210;147;126;Pohjois-Pohjanmaa;1;
Annankangas 10;Raahe;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3450;2017;Vestas;210;147;126;Pohjois-Pohjanmaa;1;
