Tuulipuisto / Wind Farm;Valmistunut / Online in;Voimaloita WTG;Teho / Capacity (MW);Omistaja / Wind Farm Owner;Voimalavalmistaja Turbine manufacturer;Online (1)  / not in use (0);Purkuvuosi Demolish year
Raahe, Mastokangas;2022;12;68,4;Aquila Capital;Nordex Acciona;1;
Soini, Konttisuo;2022;7;29,96;Energiequelle;Nordex Acciona;1;
Teuva, Paskoonharju;2022;21;117,6;EPV Tuulivoima;Vestas;1;
Humppila  & Urjala, Voimamylly;2022;6;25,8;Ilmatar Windpower;Vestas;1;
Kristiinankaupunki, Lakiakangs III;2022;20;86;CPC Finland & Helen;Vestas;1;
Kurikka, Rasakangas;2022;8;48;Ilmatar Windpower;Vestas;1;
Vaala, Metsälamminkangas;2022;24;132;Lundin Energy & Sval Energy;GE;1;
Karstula, Korkeakangas;2022;9;43,2;Aquila Capital;Nordex Acciona;1;
Pyhäjoki, Polusjärvi;2022;10;43;Suomen Hyötytuuli;Vestas;1;
Haapavesi, Hankilanneva;2022;8;48;Puhuri;Vestas;1;
Pyhäjoki, Parha;2022;10;57;Puhuri;Vestas;1;
Siikalatva (Kestilä), Kokkoneva;2022;9;42;Greencoat;Nordex Acciona;1;
Eckerö, Långnabba I & II;2022;10;43;Vind AX ab;Vestas;1;
Simo Sarvisuo (ent. Leipiö III );2021;27;151,2;Gigawatti;Vestas V 162 5,6 MW;1;
Teuva ja Kurikka, Saunamaa;2021;8;33,6;Octopus Renewables;Vestas V150 4,2 MW;1;
Kauhajoki, Suolakangas;2021;9;37,8;Octopus Renewables;Vestas V150 4,2 MW;1;
Kajaani ja Pyhäntä, Piiparinmäki, vaihe 1;2021;13;54,6;Glennmont Partners;Vestas;1;
Kajaani ja Pyhäntä, Piiparinmäki, vaihe 2;2021;28;156,8;Glennmont Partners;Vestas;1;
Uusikaarlepyy, Kröpuln;2021;7;30,1;Infracapital;Vestas;1;
Vöyri, Storbacken;2021;7;30,1;Infracapital;Vestas;1;
Pihtipudas, Ilosjoki;2021;7;29,4;Luxcara;Vestas V150, 4,2 MW;1;
Sievi, Jakoistenkallio;2021;7;29,4;Luxcara;Vestas V150, 4,2 MW;1;
Haapajärvi, Välikangas;2021;24;100,8;Luxcara;Vestas V150, 4,2 MW;1;
Ypäjä ja Humppila, Tyrinselkä II;2021;4;17,1;Tyrinselän Tuulivoimapuisto Oy/ Megatuuli & Pohjoistuuli;Nordex N149;1;
Marttila, Verhonkulma;2020;6;27;Ikea;Nordex;1;
Maalahti, Långmossan;2020;7;30,1;Ikea;Nordex;1;
Maalahti, Ribäcken;2020;5;23;Ikea;Nordex;1;
Pyhäjoki, Paltusmäki;2020;5;21,5;Energiequelle;Enercon;1;
Pyhäjoki, Oltava;2020;19;91;Taaleri Energia ;Nordex;1;
Liminka, Hirvineva;2020;4;19,2;Winda Power;Nordex;1;
Närpiö, Kalax;2020;21;90,3;Fortum;Vestas, 4,3 MW;1;
Ii, Viinamäki;2019;5;21;Exilion Tuuli Ky;Vestas;1;
Isojoki, Lakiakangas;2019;12;50,4;CPC Lakiakangas Oy;Vestas;1;
Kannus, Kuuronkallio;2019;14;60;wpd Finland;Vestas;1;
Närpiö, Hedet;2019;18;81;Neoen & Prokon;Nordex;1;
Kurikka, Ponsivuori;2019;7;30,1;Ikea;Nordex;1;
Ajos retrofit, Kemi;2017;10;33;Ikea;Siemens Gamesa;1;
Annankangas, Raahe;2017;10;35;Suomen Hyötytuuli;Vestas;1;
Savineva, Haapajärvi;2017;7;23;Haapajärvi Sauviinmäki Tuulivoima Oy;Vestas;1;
Harrström, Närpiö;2017;2;6;Harrström Vindpark Ab;Vestas;1;
Haukineva, Kurikka;2017;2;7;EE Primus;Vestas;1;
Jeppo, Uusikaarlepyy;2017;2;7;EE Primus;Vestas;1;
Karhusaari, Kristiinankaupunki;2017;1;3;Huikku tuulivoima;Vestas;1;
Kivaara-Peuravaara, Suomussalmi;2017;22;66;Taaleri Energia ;Nordex Acciona;1;
Lakiakangas, Karijoki;2017;2;7;Ardian;Vestas;1;
Leppävirta;2017;3;10;Ilmatar Windpower Oyj;Vestas;1;
LW Korpiranta, Lapua;2017;1;4;Kyyttö Energia Oy;Enercon;1;
LW Koskenkylä, Kokkola;2017;1;2;Koskenkylän Tuulienergia;Enercon;1;
Metsälä, Kristiinankaupunki;2017;34;117;EPV Tuulivoima;Vestas;1;
Muntila, Uusikaupunki;2017;3;9;SUSI Muntila GmbH & Co. KG;Nordex Acciona;1;
Onkalo II, Simo;2017;3;10;Exilion Tuuli Ky;Vestas;1;
Paskooharju, Teuva;2017;2;6;EPV Tuulivoima;Vestas;1;
Ratiperä, Jämijärvi;2017;9;27;FP Lux Wind GmbH & Co. Primus KG;Nordex Acciona;1;
Sarvankangas, Raahe;2017;14;48;Gigawatti;Vestas;1;
Tahkoluoto, Pori (offshore);2017;10;42;Suomen Hyötytuuli;Siemens Gamesa;1;
Halmekangas, Simo;2017;11;38;Exilion Tuuli Ky;Vestas;1;
Vihreäsaari Retrofit, Oulu;2017;1;3;Vihreäsaari Wind Oy;Vestas;1;
Ykspihlaja, Kokkola;2017;4;14;Aquila Capital;Nordex Acciona;1;
Ajos retrofit, Kemi;2016;3;10;Ikea;Siemens;1;
Jouttikallio, Lapua;2016;6;21;Allianz;Vestas;1;
Kantti, Karvia;2016;8;24;Taaleri Energia ;Nordex;1;
Kivaara-Peuravaara, Suomussalmi;2016;8;24;Taaleri Energia;Nordex;1;
Kooninkallio, Kankaanpää;2016;9;27;Taaleri Energia ;Nordex;1;
Kotka;2016;1;2;Kotkan Energia Oy;Enercon;1;
Kuolavaara-Keulakkopää;2016;8;24;Allianz;Nordex;1;
Limakko, Perho;2016;9;27;Taaleri Energia ;Nordex;1;
Mustaisneva, Kauhajoki;2016;1;3;Suotuuli Oy;Lagerwey;1;
Pensala;2016;1;3;Årvas Wind Ab;Lagerwey;1;
Mustaisneva, Kauhajoki;2016;8;20;SPC 2-Mustaisneva Oy;Lagerwey;1;
Mustilankangas, Kalajoki;2016;6;20;Exilion Tuuli Ky;Vestas;1;
Myllykangas, Ii;2016;9;23;Taaleri Energia;Nordex;1;
Mäkikangas, Pyhäjoki;2016;11;33;wpd Mäkikankaan tuulipuisto Oy;Nordex;1;
Nikkarinkaarto, Raahe;2016;10;33;Suomen Hyötytuuli Oy;Vestas;1;
Saarenkylä, Alavieska;2016;9;30;Saarenkylä Tuulipuisto Oy;Vestas;1;
Santavuori, Ilmajoki;2016;17;56;EPV Tuulivoima Oy;Vestas;1;
Saukkovaara, Posio;2016;7;23;Encavis;Vestas;1;
Silovuori, Pyhajoki;2016;8;26;NAEV Austria Beteiligungs GmbH;Vestas;1;
Tohkoja, Kalajoki;2016;22;73;Tohkojan Tuulipuisto Oy;Vestas;1;
Halmekangas, Simo;2016;1;3;Exilion Tuuli Ky;Vestas;1;
Leipiö, Simo;2016;13;45;Gigawatti;Vestas;1;
Tyrinselkä, Jokioinen;2016;4;12;Tuulivoimapuisto Tyrinselkä Oy;Vestas;1;
Vartinoja, Siikajoki;2016;1;3;Exilion Tuuli Ky;Alstom;1;
Etelänkylä, Kalajoki;2016;2;7;Tuulipuisto Oy Etelänkylä;Vestas;1;
Alavieska, Kytölä;2015;6;20;Taaleri Energia ;Vestas;1;
Haapajärvi, Sauviinmäki;2015;2;7;clearvise AG;Vestas;1;
Hamina, Summa phase IIa (Hailikari ja Koirakari);2015;1;3;Haminan Energia Oy;Enercon;1;
Hamina, Koirakari;2015;1;3;Haminan Energia Oy;Enercon;1;
Huikku, Hailuoto;2015;1;2;Huikku Tuulivoima Oy;Vestas;1;
Ii, Myllykangas;2015;13;31;Taaleri Energia ;Nordex;1;
Siikainen, Jäneskeidas;2015;8;26;Gigawatti;Vestas;1;
Kalajoki, Jokela;2015;12;36;WPD Finland Oy ;Nordex;1;
